ens_gene	PREP0032_RHuanxxxxxA_v1_P4_FOXB2_S3	PREP0032_RHuanxxxxxA_v1_P4_JUNB_S4	PREP0032_RHuanxxxxxA_v1_P4_POU2F3_S5	PREP0032_RHuanxxxxxA_v1_P4_sorted_S1	PREP0032_RHuanxxxxxA_v1_P7_sorted_S2
ENSG00000000003	60.8992577846888	75.3991028329782	78.8188768831161	58.4477145354979	78.9085311957231
ENSG00000000005	4.78218901799238	10.2885161586064	16.6303013634368	12.8149121079591	0.246070860684079
ENSG00000000419	64.545410748627	61.8304339589117	63.4747399505278	70.1395061579866	62.3542866306646
ENSG00000000457	4.14022482830129	2.65429883088335	2.76785890911077	1.61214519487669	2.44396863474039
ENSG00000000460	24.7194887551698	30.2353588358097	29.0450172440756	22.9834732631184	30.0177891963853
ENSG00000000938	0.227770217421068	0	0.101123019699153	0.0361329413080204	0
ENSG00000000971	0	0.262683885252164	0	0.00973070960858249	0.018079479041555
ENSG00000001036	0.525453173752742	0.537771100082204	0.296706299025018	1.11491149247873	0.356511762335409
ENSG00000001084	63.2820213978994	60.2278772109644	52.4765481665136	68.2435812598506	41.9277562043268
ENSG00000001167	11.3176463958584	10.3746287112645	9.60126434074094	10.8200257623493	7.42815068240672
ENSG00000001460	5.82230673376261	8.59447375535767	7.72699562155512	7.52584723654861	4.77761371081487
ENSG00000001461	3.62389564773072	4.37789658739656	6.64845216536965	2.79197531694933	3.27308806448543
ENSG00000001497	45.3502382043246	53.7804627541725	50.345056735089	55.8425987562719	48.8474806292671
ENSG00000001561	1.792760232959	1.97408190275364	2.72416161437504	1.32917600710717	3.17525349370065
ENSG00000001617	26.6404225090378	17.9361337763358	27.9452007305179	17.4728790575933	33.9012184302394
ENSG00000001626	2.93052840217411	2.399573472064	2.91252911164578	1.70429420061949	2.24680486244489
ENSG00000001629	39.4553386431727	37.7016513114242	39.8610267682214	41.4690699177664	48.4546066371055
ENSG00000001630	106.643075521088	108.228811364476	94.6411070282093	265.754603763203	232.969689212695
ENSG00000001631	42.1009810321601	31.0670227038157	29.1606310622631	28.2440954017928	33.7464275604206
ENSG00000002016	17.0112922141748	13.0556370094935	14.9786883084543	20.2831067071042	17.9473397753424
